internship_id,company_name,sector,role_title,location,education_required,key_skills,duration_months,stipend_amount,description,application_deadline,spots_available,priority_score
PMIS0014,Bajaj Auto,Travel & Hospitality,Finance Associate,"Dehradun, Uttarakhand",Graduate,"Strategic Thinking, Team Management",12,5000,Join Bajaj Auto as a Finance Associate intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.8417669517111269
PMIS0015,Godrej Group,"Oil, Gas & Energy",Welder,"Kolkata, West Bengal",ITI,"Technical Skills, Problem Solving",12,5000,"Join Godrej Group as a Welder intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,3,0.8497416192535173
PMIS0016,Larsen & Toubro,Manufacturing,Store Assistant,"Patna, Bihar",10th Pass,"Basic Communication, Hindi/English",12,5000,Join Larsen & Toubro as a Store Assistant intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.7297380084021096
PMIS0017,Bajaj Auto,Retail,Junior Engineer,"Mumbai, Maharashtra",Diploma,"Quality Control, Software Tools",12,5000,Join Bajaj Auto as a Junior Engineer intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9272059063689972
PMIS0018,Bajaj Auto,Travel & Hospitality,Data Entry Operator,"Pune, Maharashtra",10th Pass,"Hindi/English, Customer Service",12,5000,Join Bajaj Auto as a Data Entry Operator intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.6479461469334731
PMIS0019,JSW Group,IT Services,Lab Assistant,"Jaipur, Rajasthan",Diploma,"Project Management, Quality Control",12,5000,Join JSW Group as a Lab Assistant intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.9849789179768444
PMIS0020,Hero MotoCorp,Travel & Hospitality,Accounts Assistant,"Hyderabad, Telangana",12th Pass,"Communication Skills, Basic Accounting",12,5000,Join Hero MotoCorp as a Accounts Assistant intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9906459823330611
PMIS0021,Maruti Suzuki,FMCG,Junior Engineer,"Mumbai, Maharashtra",Diploma,"Technical Drawing, Quality Control",12,5000,Join Maruti Suzuki as a Junior Engineer intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.7957811041110252
PMIS0022,Bharti Airtel,Healthcare,CAD Operator,"Dehradun, Uttarakhand",Diploma,"Technical Drawing, Project Management",12,5000,Join Bharti Airtel as a CAD Operator intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.8143098736299034
PMIS0023,Larsen & Toubro,Retail,Field Worker,"Chandigarh, Punjab",10th Pass,"Basic Communication, Computer Basics",12,5000,Join Larsen & Toubro as a Field Worker intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.884459812975207
PMIS0024,Bajaj Auto,"Oil, Gas & Energy",Electrician,"Nagpur, Maharashtra",ITI,"Problem Solving, Equipment Handling",12,5000,"Join Bajaj Auto as a Electrician intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,9,0.6550083776583973
PMIS0025,Dabur India,Retail,Quality Control Inspector,"Lucknow, Uttar Pradesh",Diploma,"Technical Drawing, Quality Control",12,5000,Join Dabur India as a Quality Control Inspector intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.8066543565084057
PMIS0026,Tata Consultancy Services,Automobile,Store Assistant,"Chandigarh, Punjab",10th Pass,"Hindi/English, Computer Basics",12,5000,Join Tata Consultancy Services as a Store Assistant intern in Automobile sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.6754828433365517
PMIS0027,Marico Limited,Travel & Hospitality,Data Entry Operator,"Chandigarh, Punjab",10th Pass,"Basic Communication, Hindi/English",12,5000,Join Marico Limited as a Data Entry Operator intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.8568126584617151
PMIS0028,Asian Paints,Banking & Financial Services,Technician,"Chennai, Tamil Nadu",ITI,"Safety Protocols, Technical Skills",12,5000,Join Asian Paints as a Technician intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.6405886171464128
PMIS0029,Dabur India,Retail,Mechanic,"Bhubaneswar, Odisha",ITI,"Safety Protocols, Technical Skills",12,5000,Join Dabur India as a Mechanic intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.9977829850443283
PMIS0030,Mahindra Group,Banking & Financial Services,CAD Operator,"Mumbai, Maharashtra",Diploma,"Software Tools, Technical Drawing",12,5000,Join Mahindra Group as a CAD Operator intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.7232243167409557
PMIS0031,Marico Limited,Construction,CAD Operator,"Bhubaneswar, Odisha",Diploma,"Technical Drawing, Quality Control",12,5000,Join Marico Limited as a CAD Operator intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.7737577462041715
PMIS0032,JSW Group,Banking & Financial Services,Business Analyst,"Mumbai, Maharashtra",Graduate,"Strategic Thinking, Analytics",12,5000,Join JSW Group as a Business Analyst intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.8288016796836732
PMIS0033,Sun Pharma,Banking & Financial Services,Field Worker,"Bhubaneswar, Odisha",10th Pass,"Basic Communication, Customer Service",12,5000,Join Sun Pharma as a Field Worker intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9812287388095813
PMIS0034,Aditya Birla Group,Banking & Financial Services,Finance Associate,"Bengaluru, Karnataka",Graduate,"Analytics, Team Management",12,5000,Join Aditya Birla Group as a Finance Associate intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.6763644124601385
PMIS0035,Dabur India,Travel & Hospitality,Customer Service Representative,"Lucknow, Uttar Pradesh",10th Pass,"Basic Communication, Customer Service",12,5000,Join Dabur India as a Customer Service Representative intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8460028906796679
PMIS0036,Wipro,Construction,Office Assistant,"Delhi, Delhi",12th Pass,"Communication Skills, Basic Accounting",12,5000,Join Wipro as a Office Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.8835643987640474
PMIS0037,HDFC Bank,Agriculture,Management Trainee,"Indore, Madhya Pradesh",Graduate,"Strategic Thinking, Analytics",12,5000,Join HDFC Bank as a Management Trainee intern in Agriculture sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.6020739451095947
PMIS0038,Tata Consultancy Services,"Oil, Gas & Energy",Lab Assistant,"Ahmedabad, Gujarat",Diploma,"Software Tools, Technical Drawing",12,5000,"Join Tata Consultancy Services as a Lab Assistant intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,5,0.8315459582030235
PMIS0039,Hero MotoCorp,Retail,Mechanic,"Nagpur, Maharashtra",ITI,"Technical Skills, Problem Solving",12,5000,Join Hero MotoCorp as a Mechanic intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.6508242050607539
PMIS0040,Sun Pharma,IT Services,Field Worker,"Patna, Bihar",10th Pass,"Customer Service, Basic Communication",12,5000,Join Sun Pharma as a Field Worker intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.8125418526272592
PMIS0041,Asian Paints,Healthcare,Machine Operator,"Nagpur, Maharashtra",ITI,"Technical Skills, Safety Protocols",12,5000,Join Asian Paints as a Machine Operator intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.9180744779074814
PMIS0042,Maruti Suzuki,Textiles,Fitter,"Jaipur, Rajasthan",ITI,"Safety Protocols, Equipment Handling",12,5000,Join Maruti Suzuki as a Fitter intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.6625748170684344
PMIS0043,TVS Group,FMCG,Retail Associate,"Ahmedabad, Gujarat",12th Pass,"Basic Accounting, Communication Skills",12,5000,Join TVS Group as a Retail Associate intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.8951587666783074
PMIS0044,HDFC Bank,FMCG,Marketing Executive,"Patna, Bihar",Graduate,"Analytics, Leadership",12,5000,Join HDFC Bank as a Marketing Executive intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.6057573954519023
PMIS0045,JSW Group,Manufacturing,Lab Assistant,"Dehradun, Uttarakhand",Diploma,"Quality Control, Project Management",12,5000,Join JSW Group as a Lab Assistant intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.9227651908203118
PMIS0046,Maruti Suzuki,Banking & Financial Services,CAD Operator,"Lucknow, Uttar Pradesh",Diploma,"Technical Drawing, Project Management",12,5000,Join Maruti Suzuki as a CAD Operator intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.6061218161161539
PMIS0047,Tata Consultancy Services,Agriculture,Machine Operator,"Hyderabad, Telangana",ITI,"Technical Skills, Equipment Handling",12,5000,Join Tata Consultancy Services as a Machine Operator intern in Agriculture sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9468795734220015
PMIS0048,Sun Pharma,"Oil, Gas & Energy",Welder,"Indore, Madhya Pradesh",ITI,"Equipment Handling, Safety Protocols",12,5000,"Join Sun Pharma as a Welder intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,6,0.818246715726374
PMIS0049,HDFC Bank,Textiles,Management Trainee,"Mumbai, Maharashtra",Graduate,"Strategic Thinking, Leadership",12,5000,Join HDFC Bank as a Management Trainee intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,5,0.7095844509284535
PMIS0050,Marico Limited,Automobile,Quality Control Inspector,"Indore, Madhya Pradesh",Diploma,"Quality Control, Software Tools",12,5000,Join Marico Limited as a Quality Control Inspector intern in Automobile sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.754158648386226
PMIS0051,Reliance Industries,Agriculture,Accounts Assistant,"Coimbatore, Tamil Nadu",12th Pass,"Sales Skills, MS Office",12,5000,Join Reliance Industries as a Accounts Assistant intern in Agriculture sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8515771387119535
PMIS0052,Mahindra Group,IT Services,Marketing Executive,"Chennai, Tamil Nadu",Graduate,"Strategic Thinking, Analytics",12,5000,Join Mahindra Group as a Marketing Executive intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.8303698301032338
PMIS0053,Dabur India,"Oil, Gas & Energy",Technician,"Dehradun, Uttarakhand",ITI,"Safety Protocols, Equipment Handling",12,5000,"Join Dabur India as a Technician intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,2,0.8719379119600983
PMIS0054,ITC Limited,Travel & Hospitality,Sales Associate,"Dehradun, Uttarakhand",10th Pass,"Hindi/English, Customer Service",12,5000,Join ITC Limited as a Sales Associate intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.9582092913984802
PMIS0055,Sun Pharma,"Oil, Gas & Energy",Data Entry Operator,"Jaipur, Rajasthan",10th Pass,"Computer Basics, Hindi/English",12,5000,"Join Sun Pharma as a Data Entry Operator intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,5,0.980024786820322
PMIS0056,JSW Group,Travel & Hospitality,CAD Operator,"Chandigarh, Punjab",Diploma,"Quality Control, Software Tools",12,5000,Join JSW Group as a CAD Operator intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.8214812209383203
PMIS0057,TVS Group,"Oil, Gas & Energy",Business Analyst,"Kolkata, West Bengal",Graduate,"Team Management, Strategic Thinking",12,5000,"Join TVS Group as a Business Analyst intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,8,0.9983724968121317
PMIS0058,HDFC Bank,Manufacturing,Sales Executive,"Bhopal, Madhya Pradesh",12th Pass,"MS Office, Sales Skills",12,5000,Join HDFC Bank as a Sales Executive intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9046042526869889
PMIS0059,Larsen & Toubro,Banking & Financial Services,CAD Operator,"Kolkata, West Bengal",Diploma,"Project Management, Technical Drawing",12,5000,Join Larsen & Toubro as a CAD Operator intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.9567587635107107
PMIS0060,Maruti Suzuki,Manufacturing,Sales Executive,"Pune, Maharashtra",12th Pass,"Communication Skills, Basic Accounting",12,5000,Join Maruti Suzuki as a Sales Executive intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.925119826903001
PMIS0061,Mahindra Group,"Oil, Gas & Energy",Store Assistant,"Pune, Maharashtra",10th Pass,"Computer Basics, Basic Communication",12,5000,"Join Mahindra Group as a Store Assistant intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,5,0.8233616998943221
PMIS0062,Marico Limited,Agriculture,Technician,"Kolkata, West Bengal",ITI,"Equipment Handling, Problem Solving",12,5000,Join Marico Limited as a Technician intern in Agriculture sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.7874642567976505
PMIS0063,Asian Paints,"Oil, Gas & Energy",Accounts Assistant,"Jaipur, Rajasthan",12th Pass,"Sales Skills, Communication Skills",12,5000,"Join Asian Paints as a Accounts Assistant intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,7,0.76008915714881
PMIS0064,Tata Consultancy Services,Banking & Financial Services,CAD Operator,"Pune, Maharashtra",Diploma,"Technical Drawing, Project Management",12,5000,Join Tata Consultancy Services as a CAD Operator intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.9879515306830556
PMIS0065,TVS Group,Manufacturing,Finance Associate,"Bhopal, Madhya Pradesh",Graduate,"Analytics, Team Management",12,5000,Join TVS Group as a Finance Associate intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,5,0.6301738188359077
PMIS0066,Aditya Birla Group,Banking & Financial Services,Sales Associate,"Guwahati, Assam",10th Pass,"Customer Service, Hindi/English",12,5000,Join Aditya Birla Group as a Sales Associate intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.9604632041963956
PMIS0067,Sun Pharma,Construction,Store Assistant,"Lucknow, Uttar Pradesh",10th Pass,"Hindi/English, Computer Basics",12,5000,Join Sun Pharma as a Store Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.6752484638895045
PMIS0068,Dabur India,IT Services,Accounts Assistant,"Hyderabad, Telangana",12th Pass,"MS Office, Communication Skills",12,5000,Join Dabur India as a Accounts Assistant intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.8144385465376481
PMIS0069,Britannia Industries,Manufacturing,Store Assistant,"Thiruvananthapuram, Kerala",10th Pass,"Computer Basics, Hindi/English",12,5000,Join Britannia Industries as a Store Assistant intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.6304801518396652
PMIS0070,Maruti Suzuki,Travel & Hospitality,Accounts Assistant,"Guwahati, Assam",12th Pass,"MS Office, Basic Accounting",12,5000,Join Maruti Suzuki as a Accounts Assistant intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.9464255558001633
PMIS0071,Tata Consultancy Services,Manufacturing,Marketing Executive,"Mumbai, Maharashtra",Graduate,"Analytics, Leadership",12,5000,Join Tata Consultancy Services as a Marketing Executive intern in Manufacturing sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.8376522861408541
PMIS0072,Hero MotoCorp,FMCG,Sales Associate,"Thiruvananthapuram, Kerala",10th Pass,"Customer Service, Hindi/English",12,5000,Join Hero MotoCorp as a Sales Associate intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.7093628287722825
PMIS0073,Maruti Suzuki,Banking & Financial Services,Quality Control Inspector,"Hyderabad, Telangana",Diploma,"Software Tools, Quality Control",12,5000,Join Maruti Suzuki as a Quality Control Inspector intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.9779062919529712
PMIS0074,Hero MotoCorp,Travel & Hospitality,Accounts Assistant,"Bhubaneswar, Odisha",12th Pass,"Sales Skills, Basic Accounting",12,5000,Join Hero MotoCorp as a Accounts Assistant intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.842469853780352
PMIS0075,Asian Paints,Banking & Financial Services,Store Assistant,"Delhi, Delhi",10th Pass,"Basic Communication, Computer Basics",12,5000,Join Asian Paints as a Store Assistant intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8081230803615174
PMIS0076,Dabur India,Construction,Electrician,"Patna, Bihar",ITI,"Safety Protocols, Problem Solving",12,5000,Join Dabur India as a Electrician intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.9167271357878531
PMIS0077,JSW Group,Healthcare,Field Worker,"Hyderabad, Telangana",10th Pass,"Hindi/English, Basic Communication",12,5000,Join JSW Group as a Field Worker intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.9612604234706505
PMIS0078,Larsen & Toubro,Automobile,Technical Assistant,"Indore, Madhya Pradesh",Diploma,"Project Management, Technical Drawing",12,5000,Join Larsen & Toubro as a Technical Assistant intern in Automobile sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.6364008364205321
PMIS0079,Larsen & Toubro,"Oil, Gas & Energy",Customer Care Executive,"Mumbai, Maharashtra",12th Pass,"MS Office, Sales Skills",12,5000,"Join Larsen & Toubro as a Customer Care Executive intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,4,0.8790567485973853
PMIS0080,Wipro,"Oil, Gas & Energy",Marketing Executive,"Dehradun, Uttarakhand",Graduate,"Strategic Thinking, Analytics",12,5000,"Join Wipro as a Marketing Executive intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,7,0.7970472375971478
PMIS0081,Bharti Airtel,Construction,HR Assistant,"Chandigarh, Punjab",Graduate,"Analytics, Leadership",12,5000,Join Bharti Airtel as a HR Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.6512183355831089
PMIS0082,TVS Group,FMCG,Fitter,"Ahmedabad, Gujarat",ITI,"Equipment Handling, Safety Protocols",12,5000,Join TVS Group as a Fitter intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.7895846561051489
PMIS0083,Marico Limited,Automobile,Business Analyst,"Coimbatore, Tamil Nadu",Graduate,"Team Management, Strategic Thinking",12,5000,Join Marico Limited as a Business Analyst intern in Automobile sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.6708041937106987
PMIS0084,Tata Consultancy Services,FMCG,Management Trainee,"Hyderabad, Telangana",Graduate,"Leadership, Strategic Thinking",12,5000,Join Tata Consultancy Services as a Management Trainee intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.6514993593198576
PMIS0085,ITC Limited,Construction,Accounts Assistant,"Guwahati, Assam",12th Pass,"MS Office, Sales Skills",12,5000,Join ITC Limited as a Accounts Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.6627910730864774
PMIS0086,Mahindra Group,Banking & Financial Services,Management Trainee,"Mumbai, Maharashtra",Graduate,"Team Management, Analytics",12,5000,Join Mahindra Group as a Management Trainee intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.814636258394933
PMIS0087,Aditya Birla Group,Textiles,Retail Associate,"Delhi, Delhi",12th Pass,"Basic Accounting, MS Office",12,5000,Join Aditya Birla Group as a Retail Associate intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.6532467714349913
PMIS0088,Aditya Birla Group,Healthcare,Fitter,"Bhopal, Madhya Pradesh",ITI,"Problem Solving, Safety Protocols",12,5000,Join Aditya Birla Group as a Fitter intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.8130469065820093
PMIS0089,Maruti Suzuki,Healthcare,Sales Associate,"Lucknow, Uttar Pradesh",10th Pass,"Customer Service, Computer Basics",12,5000,Join Maruti Suzuki as a Sales Associate intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8141342256062094
PMIS0090,Godrej Group,Banking & Financial Services,Sales Associate,"Nagpur, Maharashtra",10th Pass,"Hindi/English, Basic Communication",12,5000,Join Godrej Group as a Sales Associate intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.799376879571623
PMIS0091,Reliance Industries,FMCG,Junior Engineer,"Guwahati, Assam",Diploma,"Technical Drawing, Software Tools",12,5000,Join Reliance Industries as a Junior Engineer intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.7349787335487672
PMIS0092,Reliance Industries,Agriculture,CAD Operator,"Thiruvananthapuram, Kerala",Diploma,"Software Tools, Project Management",12,5000,Join Reliance Industries as a CAD Operator intern in Agriculture sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.6901331190850113
PMIS0093,ITC Limited,Construction,Quality Control Inspector,"Bengaluru, Karnataka",Diploma,"Quality Control, Software Tools",12,5000,Join ITC Limited as a Quality Control Inspector intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.6448155608672209
PMIS0094,Bharti Airtel,"Oil, Gas & Energy",Accounts Assistant,"Chennai, Tamil Nadu",12th Pass,"Basic Accounting, MS Office",12,5000,"Join Bharti Airtel as a Accounts Assistant intern in Oil, Gas & Energy sector. Gain hands-on experience and develop industry-relevant skills.",2025-12-31,7,0.9717503956510343
PMIS0095,Marico Limited,IT Services,Fitter,"Thiruvananthapuram, Kerala",ITI,"Problem Solving, Safety Protocols",12,5000,Join Marico Limited as a Fitter intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.8843809915346993
PMIS0096,Britannia Industries,Banking & Financial Services,Lab Assistant,"Dehradun, Uttarakhand",Diploma,"Quality Control, Software Tools",12,5000,Join Britannia Industries as a Lab Assistant intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,7,0.7154522212961023
PMIS0097,Mahindra Group,Construction,HR Assistant,"Thiruvananthapuram, Kerala",Graduate,"Team Management, Analytics",12,5000,Join Mahindra Group as a HR Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.7817071888876399
PMIS0098,Wipro,Healthcare,Marketing Executive,"Patna, Bihar",Graduate,"Team Management, Strategic Thinking",12,5000,Join Wipro as a Marketing Executive intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.6555299093768081
PMIS0099,ITC Limited,Banking & Financial Services,Data Entry Operator,"Bhopal, Madhya Pradesh",10th Pass,"Customer Service, Basic Communication",12,5000,Join ITC Limited as a Data Entry Operator intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.9322477631150916
PMIS0100,Aditya Birla Group,Automobile,Junior Engineer,"Bhopal, Madhya Pradesh",Diploma,"Quality Control, Technical Drawing",12,5000,Join Aditya Birla Group as a Junior Engineer intern in Automobile sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.8964482597160236
